ppt_id,player.afford_to_lose,player.larger_amounts,player.win_back_losses,player.borrowed_money,player.subjective_gambling_problem,player.health_problems,player.external_gambling_problem,player.financial_problem,player.guilt
155,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Never
156,Never,Never,Never,Never,Never,Never,Never,Never,Never
157,Never,Sometimes,Sometimes,Never,Never,Most of the time,Sometimes,Never,Never
158,Never,Never,Never,Never,Never,Never,Never,Never,Never
159,Never,Never,Never,Never,Never,Never,Never,Never,Never
160,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time
161,Never,Never,Never,Never,Never,Never,Never,Never,Never
162,Never,Never,Never,Never,Never,Never,Never,Never,Never
163,Sometimes,Most of the time,Most of the time,Sometimes,Almost always,Sometimes,Sometimes,Never,Most of the time
164,,,,,,,,,
165,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
166,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes
167,Never,Never,Never,Never,Never,Never,Never,Never,Never
168,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
169,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,Most of the time
170,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never
171,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never
172,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
173,Never,Sometimes,Sometimes,Never,Most of the time,Sometimes,Sometimes,Never,Most of the time
174,Never,Never,Never,Never,Never,Never,Never,Never,Never
175,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
176,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
177,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never
178,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
179,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes
180,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
181,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes
182,Never,Never,Never,Never,Sometimes,Most of the time,Never,Never,Sometimes
183,Never,Never,Never,Never,Never,Never,Never,Never,Never
184,Never,Never,Never,Never,Never,Never,Never,Never,Never
185,Sometimes,Sometimes,Most of the time,Never,Almost always,Most of the time,Most of the time,Most of the time,Most of the time
186,Never,Sometimes,Almost always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes
187,Never,Never,Never,Never,Never,Never,Never,Never,Never
188,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
189,Never,Never,Never,Never,Never,Never,Never,Never,Never
190,Never,Never,Never,Never,Never,Never,Never,Never,Never
191,Never,Never,Never,Never,Never,Never,Never,Never,Never
192,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes
193,Sometimes,Never,Never,Never,Never,Never,Never,Never,Sometimes
194,Sometimes,Sometimes,Sometimes,Never,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time
195,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never
196,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
197,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes
198,Never,Never,Never,Never,Never,Never,Never,Never,Never
199,Never,Never,Never,Never,Never,Never,Never,Never,Never
200,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
201,Never,Never,Never,Never,Never,Never,Never,Never,Never
202,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
203,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
204,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
205,Never,Never,Never,Never,Never,Never,Never,Never,Never
206,Never,Never,Never,Never,Never,Never,Never,Never,Never
207,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes
208,Never,Never,Never,Never,Never,Never,Never,Never,Never
209,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes
210,Sometimes,Sometimes,Almost always,Never,Sometimes,Sometimes,Sometimes,Never,Most of the time
211,Never,Never,Never,Never,Never,Never,Never,Never,Never
212,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
213,,,,,,,,,
214,Most of the time,Most of the time,Almost always,Sometimes,Almost always,Almost always,Most of the time,Almost always,Almost always
215,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never
216,Never,Never,Never,Never,Never,Never,Never,Never,Never
217,Never,Never,Never,Never,Never,Never,Never,Never,Never
218,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
219,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
220,Never,Never,Never,Never,Never,Never,Never,Never,Never
221,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
222,Never,Never,Never,Never,Never,Never,Never,Never,Never
223,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes
224,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
225,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never
226,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
227,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never
228,Never,Never,Never,Never,Never,Never,Never,Never,Never
229,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes
230,Never,Never,Never,Never,Never,Never,Never,Never,Never
231,Never,Never,Never,Never,Never,Never,Never,Never,Never
232,Most of the time,Almost always,Almost always,Never,Most of the time,Sometimes,Sometimes,Never,Most of the time
233,Sometimes,Sometimes,Sometimes,Never,Sometimes,Most of the time,Never,Never,Sometimes
234,Never,Never,Never,Never,Never,Never,Never,Never,Never
235,Never,Never,Never,Never,Never,Never,Never,Never,Never
236,Sometimes,Never,Almost always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
237,Never,Never,Never,Never,Never,Never,Never,Never,Never
238,Never,Never,Never,Never,Never,Never,Never,Never,Never
239,Never,Never,Never,Never,Never,Never,Never,Never,Never
240,Never,Never,Never,Never,Never,Never,Never,Never,Never
241,Never,Sometimes,Most of the time,Never,Never,Never,Never,Never,Never
242,Never,Never,Never,Never,Never,Never,Never,Never,Never
243,Never,Never,Never,Never,Never,Never,Never,Never,Never
244,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
245,Never,Never,Never,Never,Never,Never,Never,Never,Never
246,Never,Never,Never,Never,Never,Never,Never,Never,Never
247,Sometimes,Sometimes,Most of the time,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
248,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never
249,Never,Never,Never,Never,Never,Never,Never,Never,Never
250,Never,Never,Never,Never,Never,Never,Never,Never,Never
251,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes
252,Never,Never,Never,Never,Never,Never,Never,Never,Never
253,Never,Never,Never,Never,Never,Never,Never,Never,Never
254,Never,Never,Never,Never,Never,Never,Never,Never,Never
255,Never,Never,Never,Never,Never,Never,Never,Never,Never
256,Never,Never,Never,Never,Never,Never,Never,Never,Never
257,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never
258,Sometimes,Sometimes,Most of the time,Never,Most of the time,Sometimes,Never,Never,Most of the time
259,Never,Never,Never,Never,Never,Never,Never,Never,Never
260,Never,Never,Never,Never,Never,Never,Never,Never,Never
261,Never,Never,Never,Never,Never,Never,Never,Never,Never
262,Never,Never,Never,Never,Never,Never,Never,Never,Never
263,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
264,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never
265,Sometimes,Sometimes,Most of the time,Sometimes,Never,Never,Never,Sometimes,Sometimes
266,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
267,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes
268,Never,Never,Never,Never,Never,Never,Never,Never,Never
269,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes
270,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never
271,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
272,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never
273,Never,Never,Never,Never,Never,Never,Never,Never,Never
274,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes
275,Never,Never,Never,Never,Never,Never,Never,Never,Never
276,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
277,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
278,,,,,,,,,
279,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes
280,Never,Never,Never,Never,Never,Never,Never,Never,Never
281,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
282,Never,Never,Most of the time,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
283,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
284,Never,Never,Never,Never,Almost always,Never,Never,Never,Never
285,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
286,,,,,,,,,
287,Never,Never,Never,Never,Never,Never,Never,Never,Never
288,Never,Never,Never,Never,Never,Never,Never,Never,Never
289,Never,Never,Never,Never,Never,Never,Never,Never,Never
290,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never
291,Never,Never,Never,Never,Never,Never,Never,Never,Never
292,Never,Never,Never,Never,Never,Never,Never,Never,Never
293,Never,Never,Never,Never,Never,Never,Never,Never,Never
294,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
295,Never,Never,Never,Never,Never,Never,Never,Never,Never
296,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
297,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes
298,,,,,,,,,
299,,,,,,,,,
300,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never
301,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes
302,,,,,,,,,
303,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never
304,Never,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes
305,Never,Never,Never,Never,Never,Never,Never,Never,Never
306,Sometimes,Most of the time,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes
307,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes
308,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never
309,Sometimes,Sometimes,Most of the time,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes
310,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Sometimes
311,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
312,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes
313,Never,Never,Never,Never,Never,Never,Never,Never,Never
314,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes
315,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes
316,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
317,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes
318,Almost always,Almost always,Sometimes,Sometimes,Most of the time,Most of the time,Never,Sometimes,Most of the time
319,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never
320,Sometimes,Most of the time,Sometimes,Sometimes,Never,Sometimes,Most of the time,Sometimes,Almost always
321,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never
322,Sometimes,Most of the time,Almost always,Never,Sometimes,Sometimes,Sometimes,Never,Most of the time
323,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes
324,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes
325,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time
326,Most of the time,Most of the time,Almost always,Never,Most of the time,Sometimes,Sometimes,Never,Most of the time
327,Never,Never,Never,Never,Never,Never,Never,Never,Never
328,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never
329,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never
330,Never,Never,Never,Never,Never,Never,Never,Never,Never
331,Sometimes,Sometimes,Most of the time,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes
332,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
333,Never,Never,Never,Never,Never,Never,Never,Never,Never
334,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
335,,,,,,,,,
336,Most of the time,Most of the time,Most of the time,Sometimes,Almost always,Almost always,Almost always,Almost always,Almost always
337,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
338,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes
339,Never,Never,Never,Never,Never,Never,Never,Never,Never
340,,,,,,,,,
341,Never,Never,Never,Never,Never,Never,Never,Never,Never
342,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
343,Never,Never,Never,Never,Never,Never,Never,Never,Never
344,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
345,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes
346,Never,Never,Never,Never,Never,Never,Never,Never,Never
347,Sometimes,Most of the time,Most of the time,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes
348,Never,Never,Never,Never,Never,Never,Never,Never,Never
349,,,,,,,,,
350,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes
351,Never,Never,Never,Never,Never,Never,Never,Never,Never
352,Never,Never,Never,Never,Never,Never,Never,Never,Never
353,Never,Never,Never,Never,Never,Never,Never,Never,Never
354,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never
355,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes
356,Never,Never,Never,Never,Never,Never,Never,Never,Never
357,Never,Never,Never,Never,Never,Never,Never,Never,Never
358,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes
359,Never,Most of the time,Almost always,Never,Sometimes,Never,Sometimes,Never,Sometimes
360,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes
361,Never,Never,Never,Never,Never,Never,Never,Never,Never
362,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never
363,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
364,Most of the time,Almost always,Almost always,Almost always,Most of the time,Sometimes,Most of the time,Never,Most of the time
365,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes
366,Never,Never,Never,Never,Never,Never,Never,Never,Never
367,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes
368,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes
369,Never,Never,Never,Never,Never,Never,Never,Never,Never
370,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
371,Never,Never,Never,Never,Never,Never,Never,Never,Never
372,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
373,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes
374,Never,Never,Never,Never,Never,Never,Never,Never,Never
375,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
376,Never,Never,Never,Never,Never,Never,Never,Never,Never
377,Never,Never,Never,Never,Never,Never,Never,Never,Never
378,Never,Never,Never,Never,Never,Never,Never,Never,Never
379,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Most of the time
380,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes
381,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes
382,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes
383,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes
384,Never,Never,Never,Never,Never,Never,Never,Never,Never
385,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never
386,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Sometimes
387,Never,Never,Never,Never,Never,Never,Never,Never,Never
388,Never,Never,Never,Never,Never,Never,Never,Never,Never
389,Never,Never,Never,Never,Never,Never,Never,Never,Never
390,Never,Never,Never,Never,Never,Never,Never,Never,Never
391,Never,Never,Never,Never,Never,Never,Never,Never,Never
392,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never
393,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes
394,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
395,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time
396,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never
397,Most of the time,Sometimes,Almost always,Sometimes,Most of the time,Almost always,Most of the time,Most of the time,Most of the time
398,Most of the time,Sometimes,Most of the time,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always
